Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,SMA_20,RSI_14,Bollinger_High,Bollinger_Low
2020-02-10,1193.2052262228092,1193.2052262228092,1176.9816833680018,1190.661376953125,4609917,0.0,0.0,HDFCBANK.NS,1194.366961669922,48.072448333922615,1241.0667723292509,1147.667151010593
2020-02-11,1193.541353162108,1204.7730550885838,1188.5014658798648,1190.9493408203125,5806760,0.0,0.0,HDFCBANK.NS,1192.0198059082031,48.17929106105602,1234.2368409663973,1149.802770850009
2020-02-12,1195.36534000586,1202.75724574803,1194.2614583322245,1199.0133056640625,3148965,0.0,0.0,HDFCBANK.NS,1190.3278442382812,51.20690697451011,1228.369223029433,1152.2864654471293
2020-02-13,1209.4770105777045,1209.4770105777045,1184.229527588344,1191.7174072265625,4556070,0.0,0.0,HDFCBANK.NS,1188.107891845703,48.44889502725745,1219.864789464359,1156.350994227047
2020-02-14,1193.445393797027,1198.4373530168175,1166.374043126806,1170.5499267578125,7344429,0.0,0.0,HDFCBANK.NS,1185.2855590820313,41.47013700002956,1212.411721364637,1158.1593967994256
2020-02-17,1175.9736740731246,1183.6535021487043,1165.8458539245034,1168.4378662109375,5076345,0.0,0.0,HDFCBANK.NS,1183.4735961914062,40.838043863256324,1210.0114603661027,1156.9357320167096
2020-02-18,1168.1981597279191,1169.7341022849107,1155.3344210914156,1164.6942138671875,5264558,0.0,0.0,HDFCBANK.NS,1181.9808349609375,39.68345100249095,1209.2084509825543,1154.7532189393207
2020-02-19,1173.573719201665,1180.7735579697733,1165.317927517876,1178.0855712890625,5006134,0.0,0.0,HDFCBANK.NS,1181.3256408691407,45.607476495281745,1208.2644760916457,1154.3868056466356
2020-02-20,1180.7737629159992,1180.7737629159992,1165.5100786413254,1168.3900146484375,5561707,0.0,0.0,HDFCBANK.NS,1179.9936767578124,42.36330990442124,1206.7240410862084,1153.2633124294164
2020-02-24,1160.5660224255062,1166.1339448955853,1151.9742612675054,1161.5260009765625,8284042,0.0,0.0,HDFCBANK.NS,1178.3329040527344,40.18404116084823,1205.3179245250692,1151.3478835803996
2020-02-25,1155.814202950963,1160.6140958203607,1150.0543315076857,1152.2623291015625,6943340,0.0,0.0,HDFCBANK.NS,1177.7137268066406,37.38860323229356,1206.4387302965686,1148.9887233167126
2020-02-26,1149.5744318959116,1156.486231293061,1138.1987083450267,1151.25439453125,6907393,0.0,0.0,HDFCBANK.NS,1176.5641540527345,37.08629943357431,1207.506903993086,1145.6214041123828
2020-02-27,1147.1744311509976,1154.37427067705,1133.7347307023667,1151.4462890625,10327549,0.0,0.0,HDFCBANK.NS,1174.8169921875,37.19042207548177,1207.2533501157236,1142.3806342592766
2020-02-28,1128.4548214429535,1137.5746179582306,1123.270913670977,1130.518798828125,12156528,0.0,0.0,HDFCBANK.NS,1172.4938415527345,31.137991962487106,1210.2040245089343,1134.7836585965347
2020-03-02,1152.1661588348131,1153.0782087286614,1119.4789609367876,1132.390625,7332449,0.0,0.0,HDFCBANK.NS,1170.2522888183594,32.20080353268541,1211.714835397598,1128.7897422391206
2020-03-03,1127.9746632324193,1137.910416616259,1121.2548141748644,1134.5025634765625,11184775,0.0,0.0,HDFCBANK.NS,1169.724298095703,33.44885516405168,1212.697893736627,1126.750702454779
2020-03-04,1131.1907052224476,1132.7746932728987,1087.7516756710927,1102.871337890625,17144435,0.0,0.0,HDFCBANK.NS,1165.8387817382813,25.79115663549399,1217.3812704936984,1114.2962929828643
2020-03-05,1106.855350466965,1118.37509392369,1097.0155695976796,1105.2713623046875,9774854,0.0,0.0,HDFCBANK.NS,1161.3604858398437,27.15388016357609,1217.4132064374805,1105.3077652422069
2020-03-06,1079.9759247533182,1095.2396079268094,1056.9364383585807,1089.479736328125,11526783,0.0,0.0,HDFCBANK.NS,1156.3253967285157,24.027405952632265,1218.837291930021,1093.8135015270104
2020-03-09,1065.5762704054084,1073.640114267076,1022.377232416,1062.984375,17210295,0.0,0.0,HDFCBANK.NS,1149.850341796875,19.889548234700655,1222.10704204905,1077.5936415447
2020-03-11,1060.7763843603584,1075.1760637860646,1048.296662191413,1069.2242431640625,17769120,0.0,0.0,HDFCBANK.NS,1143.7784851074218,23.24214815240073,1221.4995658690038,1066.0574043458398
2020-03-12,1031.977010788097,1036.77690386153,963.2905526257596,980.4261474609376,29500385,0.0,0.0,HDFCBANK.NS,1133.2523254394532,14.160253000249512,1235.6688551722218,1030.8357957066846
2020-03-13,940.8270851454056,1038.168887265585,882.4124064302825,1026.9852294921875,33171182,0.0,0.0,HDFCBANK.NS,1124.6509216308593,29.676483953042123,1232.2931382783343,1017.0087049833844
2020-03-16,993.5778359760934,995.4977931470618,955.1786925567276,959.4985961914062,15993161,0.0,0.0,HDFCBANK.NS,1113.0399810791016,23.145690071858382,1237.9522161258585,988.1277460323446
2020-03-17,967.658391398418,969.5783485242084,916.4915457145892,936.0750732421876,21338419,0.0,0.0,HDFCBANK.NS,1101.3162384033203,21.386501430176907,1245.035126674196,957.5973501324446
2020-03-18,945.5788974555112,953.2587260642872,830.3814683238754,841.8052368164062,30590703,0.0,0.0,HDFCBANK.NS,1084.9846069335938,16.087114281358254,1264.3065506688336,905.6626631983539
2020-03-19,813.101853163813,883.1323019405071,763.1829672552908,859.7088012695312,33610024,0.0,0.0,HDFCBANK.NS,1069.735336303711,20.134694762018626,1269.9984430458862,869.4722295615356
2020-03-20,839.9812207225164,877.9963473890965,791.550291763513,847.5170288085938,44318732,0.0,0.0,HDFCBANK.NS,1053.2069091796875,19.446792336196623,1268.9400704279624,837.4737479314126
2020-03-23,762.7989418883617,805.1820188354235,734.3835998916231,740.6714477539062,25138477,0.0,0.0,HDFCBANK.NS,1031.820980834961,14.70517594276771,1280.0015975441459,783.6403641257758
2020-03-24,763.4229215311468,777.5826047660847,709.1841349024014,736.9755249023438,30528636,0.0,0.0,HDFCBANK.NS,1010.59345703125,14.572811057163833,1282.279447780937,738.9074662815628
2020-03-25,739.6154731328708,832.7333909175358,725.0237876996724,822.4616088867188,23614021,0.0,0.0,HDFCBANK.NS,994.1034210205078,30.218658373438927,1269.4037969984884,718.8030450425273
2020-03-26,835.2773459036899,900.1719336018855,807.3419924324803,865.0366821289062,28521578,0.0,0.0,HDFCBANK.NS,979.7925354003906,36.46022104682987,1250.6494166997902,708.9356541009911
2020-03-27,907.131756379844,949.0828313733216,837.1972827899858,868.2526245117188,27617968,0.0,0.0,HDFCBANK.NS,965.6328521728516,36.919195783299784,1228.6094514089286,702.6562529367745
2020-03-30,844.7812165110275,851.5010670969107,794.8623264444668,798.3662719726562,19634222,0.0,0.0,HDFCBANK.NS,949.0252258300782,31.58054513137111,1210.1987034733877,687.8517481867686
2020-03-31,819.6297167993533,838.637281357104,804.4620666408429,827.4055786132812,17605546,0.0,0.0,HDFCBANK.NS,933.7759735107422,35.7387599678068,1185.7980368988194,681.753910122665
2020-04-01,829.2774475874181,829.2774475874181,787.1824115760878,796.4462280273438,14551752,0.0,0.0,HDFCBANK.NS,916.8731567382813,33.407646173982826,1157.8834440499566,675.8628694266059
2020-04-03,809.2619642334049,810.221942838664,777.5826702598553,781.278564453125,17498140,0.0,0.0,HDFCBANK.NS,900.7935180664062,32.29620367728619,1132.7630278813467,668.8240082514658
2020-04-07,839.021252849295,870.9885268514951,811.5178439499248,860.2367553710938,30206319,0.0,0.0,HDFCBANK.NS,888.5417877197266,42.93875079291813,1101.0886445325966,675.9949309068566
2020-04-08,844.7331919054711,907.1797889388012,831.4374529650282,853.3250122070312,28109676,0.0,0.0,HDFCBANK.NS,876.7340515136718,42.31174922627175,1068.5446565935154,684.9234464338283
2020-04-09,876.4604677521188,893.6441082457919,854.380959802175,888.0281982421875,22228573,0.0,0.0,HDFCBANK.NS,867.9862426757812,46.53327318510495,1039.9539330526404,696.0185522989219
2020-04-13,896.6200433091601,908.8117836679344,850.7330763657886,859.516845703125,17079028,0.0,0.0,HDFCBANK.NS,857.5008728027344,43.70362462190662,1002.5805549672775,712.4211906381913
2020-04-15,893.2600852060125,893.2600852060125,809.2619579029216,828.74951171875,28989376,0.0,0.0,HDFCBANK.NS,849.917041015625,40.81900817563124,983.9366652560385,715.8974167752116
2020-04-16,830.3813939312704,855.0528528451724,821.9815821429482,844.5410766601562,26927198,0.0,0.0,HDFCBANK.NS,840.7948333740235,42.90211077012326,947.3947982754796,734.1948684725674
2020-04-17,878.3804415276423,883.1803346507442,851.741034694427,873.8685302734375,27941731,0.0,0.0,HDFCBANK.NS,836.513330078125,46.65734408442755,929.7382444466475,743.2884157096025
2020-04-20,912.93959706008,922.491395309323,897.5799403272082,907.0357055664062,33116493,0.0,0.0,HDFCBANK.NS,835.0613616943359,50.613251497705704,922.7803719418127,747.3423514468591
2020-04-21,887.9801870345212,896.6199942597219,871.6605511646976,884.7642822265625,16589003,0.0,0.0,HDFCBANK.NS,837.2093139648438,48.03709417015675,927.5483977244522,746.8702302052353
2020-04-22,882.3642849661201,895.6599641045441,870.9885042858559,891.43603515625,19144677,0.0,0.0,HDFCBANK.NS,838.7956756591797,48.876563527978334,931.7362262991659,745.8551250191935
2020-04-23,897.5799230098669,920.139418401024,876.0283933538694,916.7315063476562,20450611,0.0,0.0,HDFCBANK.NS,842.2563995361328,52.04012968506889,941.1989376839031,743.3138613883625
2020-04-24,895.6599935415493,920.0434723225294,888.9401436435955,900.5078735351562,16642284,0.0,0.0,HDFCBANK.NS,850.2482208251953,49.907041898341454,940.5194531417532,759.9769885086374
2020-04-27,907.3238077249388,919.0835457110018,889.2281757501015,892.4921264648438,13710536,0.0,0.0,HDFCBANK.NS,858.0240509033204,48.84181353874105,933.5078904634973,782.5402113431434
2020-04-28,906.0277220162068,906.0277220162068,885.1002018472013,894.1240234375,14720718,0.0,0.0,HDFCBANK.NS,861.6071716308594,49.080101354746255,936.8013147878294,786.4130284738894
2020-04-29,897.5799809804679,952.9707573006388,896.7159768131351,937.9950561523438,27938889,0.0,0.0,HDFCBANK.NS,865.2550903320313,55.130791449338346,947.508354058109,783.0018266059535
2020-04-30,961.3225866869284,978.2181864906132,952.3947388960328,961.70654296875,21896567,0.0,0.0,HDFCBANK.NS,869.9277862548828,58.03338941725481,962.3239038451629,777.5316686646026
